"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc855f9""}",Tweet_id:1235955987586125827,"created_at:""Fri Mar 06 15:50:45 +0000 2020""","rawtext:""Ethereum Whales Accumulate in Anticipation of ETH 2.0\nhttps://t.co/MdeoG9kdut\n\n#Anticipation #Ethereum""","text:""Ethereum Whales Accumulate in Anticipation of ETH 2.0 ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8560a""}",Tweet_id:1235961083619414016,"created_at:""Fri Mar 06 16:11:00 +0000 2020""","rawtext:""Very #interesting"," thanks!""","text:""Very interesting"," thanks!""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8560b""}",Tweet_id:1235961165890678785,"created_at:""Fri Mar 06 16:11:19 +0000 2020""","rawtext:""Happy Friday! _コ____ so excited today is my Friday! This weekend is going to be jam packed with stuff but I am so excited for what it__ going to bring! __ #otaku #happyfriday #birthdayweekend #cannotwait #soexcited_ https://t.co/T3gRdc8kIM""","text:""Happy Friday! so excited today is my Friday! This weekend is going to be jam packed with stuff but I am so excited for what it is going to bring! ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8560e""}",Tweet_id:1235970004002066433,"created_at:""Fri Mar 06 16:46:26 +0000 2020""","rawtext:""#Person He Has #Selected For #inspiration Is Even More #Interesting. No idea what is the connection""","text:""Person He Has Selected For inspiration Is Even More Interesting. No idea what is the connection""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8560c""}",Tweet_id:1235970446022987777,"created_at:""Fri Mar 06 16:48:12 +0000 2020""","rawtext:""Artist Interview"," 2010?  #interesting #pinotnoir #stilllife #paris #collage #flowerstagram #artistinterview https://t.co/FBn53aYkWP""","text:""Artist Interview"," 2010? ""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85614""}",Tweet_id:1235973109531975680,"created_at:""Fri Mar 06 16:58:47 +0000 2020""","rawtext:""#FactFriday Have you seen Leavenworth"," WA? In the 60s it was redesigned to look like a Bavarian mountain town. I__ say it__ pretty convincing __\n\n#fact #interesting #DidYouKnow #DYK #WA #Washington #Leavenworth #wanderlust https://t.co/LRrwso45qe""","text:""FactFriday Have you seen Leavenworth"," WA? In the 60s it was redesigned to look like a Bavarian mountain town. I would say it is pretty convincing ""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85615""}",Tweet_id:1235973306639167494,"created_at:""Fri Mar 06 16:59:34 +0000 2020""","rawtext:""@FiGuide @Sporting_Panda @UncleRichard16 @matthewfitrader Great show again lads. __ Wow the guys were experiencing Jung's synchronicity regarding Coronavirus. Do  you agree @Freunds_Mullet? I think every listener were lifted a bit when it happened. Certainly the lads __ listen back your reactions ______ #excitement ____""","text:""Great show again lads. Wow the guys were experiencing Jung's synchronicity regarding Coronavirus. Do you agree ? I think every listener were lifted a bit when it happened. Certainly the lads listen back your reactions ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85619""}",Tweet_id:1235973911315132418,"created_at:""Fri Mar 06 17:01:58 +0000 2020""","rawtext:""long hair #girl \n#ErectNipples #wetnipples #TheNoBraClub #sexy \n#beauty #nipples  #excited #nobraclub #braless #whatbra #naostro #nobragang #bestnipples  #nipple #hardnipples #bradavky #tvrdebradavky  \nbest bra  no bra https://t.co/4hkehSMDIT""","text:""long hair girl ErectNipples wetnipples TheNoBraClub sexy beauty nipples excited nobraclub braless whatbra naostro nobragang bestnipples nipple hardnipples bradavky tvrdebradavky best bra no bra""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8561a""}",Tweet_id:1235973927626838018,"created_at:""Fri Mar 06 17:02:02 +0000 2020""","rawtext:""Loving and looking forward to this __""","text:""Loving and looking forward to this""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8561b""}",Tweet_id:1235974895856578561,"created_at:""Fri Mar 06 17:05:53 +0000 2020""","rawtext:""The plastic things on the end of shoelaces are called aglets. #interesting #didyouknow""","text:""The plastic things on the end of shoelaces are called aglets. ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8561c""}",Tweet_id:1235975010008756225,"created_at:""Fri Mar 06 17:06:20 +0000 2020""","rawtext:""My Communism Test score makes me Somewhat Communist (69% - giggle). #interesting https://t.co/4UmqUoZKaP via @idr_labs""","text:""My Communism Test score makes me Somewhat Communist (69% - giggle). interesting via""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85616""}",Tweet_id:1235973861797175302,"created_at:""Fri Mar 06 17:01:46 +0000 2020""","rawtext:""Don__ worry about the people who aren__ happy for you. They probably_aren__ happy for themselves either.\n\n@SimpleReminders @BryantMcGill @JenniMcGill_\n#simplereminders #quotes #quoteoftheday #life #worry #happy #happiness #sad #depressed #excited #caring #supportive https://t.co/CooPFccr4y""","text:""do not worry about the people who are not happy for you. They probably are not happy for themselves either. ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8561d""}",Tweet_id:1235975196407984128,"created_at:""Fri Mar 06 17:07:04 +0000 2020""","rawtext:""@DanODonnellShow  when__ the social media argument class happening? #interested""","text:""when is the social media argument class happening? ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85621""}",Tweet_id:1235976139421749253,"created_at:""Fri Mar 06 17:10:49 +0000 2020""","rawtext:""#Excitement is building as we prepare for #IWD2020 celebrations with MC @MiriamOCal @theshelbourne\nWe are #GenerationEquality and @an_cosan have a One Generation solution to poverty.\nTogether we can realise #WomensRights @acd129 @HeydiFoster @SenLynnRuane https://t.co/zpxHj7H5Nr""","text:""Excitement is building as we prepare for IWD2020 celebrations with MC We are GenerationEquality and have a One Generation solution to poverty. Together we can realise ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85624""}",Tweet_id:1235977316637052930,"created_at:""Fri Mar 06 17:15:30 +0000 2020""","rawtext:""#Travel plans to visit #family #cancelled owing to @V2019N  #CoronavirusOutbreak in #India &amp; #AroundTheWorld. My 6 month old #daughter was super #excited to meet #grandparents and #cousins. __ Wise have said"," \""Prevention is better than cure\""!""","text:""Travel plans to visit family cancelled owing to CoronavirusOutbreak in India &amp; AroundTheWorld. My 6 month old daughter was super excited to meet grandparents and cousins. Wise have said"," \""Prevention is better than cure\""!""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85625""}",Tweet_id:1235976996771028993,"created_at:""Fri Mar 06 17:14:14 +0000 2020""","rawtext:""We are in single digits race fans"," SINGLE DIGITS!!!! 9 DAYS UNTIL LIGHTS OUT!!!!! 9 DAYS!!!!! #AusGP #F1 #FridayFeeling #Excited https://t.co/QhJFVibqv2""","text:""We are in single digits race fans"," SINGLE DIGITS!! 9 DAYS UNTIL LIGHTS OUT!! 9 DAYS!! ""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85626""}",Tweet_id:1235976276458049538,"created_at:""Fri Mar 06 17:11:22 +0000 2020""","rawtext:""So excited to be part of @an_cosan for this special day #IWD2020", throughout my life I have seen the power of women supporting and lifting each other up," and now I__ encouraging everyone to join with us to realise #GenerationEquality   @acd129 @KZapponeTD @SenLynnRuane""","text:""So excited to be part of for this special day IWD2020", throughout my life I have seen the power of women supporting and lifting each other up," and now I am encouraging everyone to join with us to realise ""}",,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85627""}",Tweet_id:1235978899877769220,"created_at:""Fri Mar 06 17:21:47 +0000 2020""","rawtext:""#vss365 but you must have pun\n\n#AmWriting #WritingCommunity\n#FridayFeeling #Interested? x__""","text:""vss365 but you must have pun AmWriting WritingCommunity FridayFeeling Interested? x""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85622""}",Tweet_id:1235976229829959683,"created_at:""Fri Mar 06 17:11:11 +0000 2020""","rawtext:""@carpediemeire @TravelBugsWorld @Adventuringgal @CancerRoadTrip @TooMuchToSee1 @kmf116 @StuckOntheGo @HHLifestyleTrav @beckyexploring @OfficialBoarder @LisaRivera2207 @FitLifeTravel @LiveaMemory @sl2016_sl @GoodLifeWithIQ We have a very #interesting #bird #farm close by\nhttps://t.co/dCmd7mv2Jo https://t.co/ec7dPcYH4B""","text:""We have a very interesting bird farm close by""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85628""}",Tweet_id:1235978663033819136,"created_at:""Fri Mar 06 17:20:51 +0000 2020""","rawtext:""Gold Baby Shower Banner Decoration. Get it now at https://t.co/bMH0nrDCuh\n#babyshower", #EmployeeAppreciationDay #WomensDay #fridaymotivation #fridaythoughts, #fridayfeeling, #Ohbaby, #baby, #babyyoda, #ohboy, #decoration, #gender #reveal #etsy, #tweet #mommy," #expecting https://t.co/IfXyBz4lJA""","text:""Gold Baby Shower Banner Decoration. Get it now at ""}"
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85629""}",Tweet_id:1235980007593435141,"created_at:""Fri Mar 06 17:26:11 +0000 2020""","rawtext:""@NerdWallet I paid off my all debt last month! Woohoo! But it's still showing up on your site (via @TransUnion ). How long 'till that updates &amp; increases my credit score?!! #SoExcited""","text:""I paid off my all debt last month! Woohoo! But it is still showing up on your site (via ). How long 'till that updates &amp; increases my credit score?!! ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8562a""}",Tweet_id:1235979543883759616,"created_at:""Fri Mar 06 17:24:21 +0000 2020""","rawtext:""So glad to be offering another training route into the profession""","text:""So glad to be offering another training route into the profession""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8562d""}",Tweet_id:1235981998570774529,"created_at:""Fri Mar 06 17:34:06 +0000 2020""","rawtext:""#psychat #psy157 Past Present Future gluing site: Insanity is #repeating acts &amp; #expecting diff #results. Einstein https://t.co/XHJE6spFb4""","text:""psychat psy157 Past Present Future gluing site: Insanity is repeating acts &amp; expecting diff results. Einstein""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8562e""}",Tweet_id:1235982460300587009,"created_at:""Fri Mar 06 17:35:56 +0000 2020""","rawtext:""More than 50% of the people in the world have never made or received a telephone call. #interesting #didyouknow""","text:""More than 50% of the people in the world have never made or received a telephone call. ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8562f""}",Tweet_id:1235980501414002688,"created_at:""Fri Mar 06 17:28:09 +0000 2020""","rawtext:""Today is the day _グ_\n#excited #popcorn #movie #MilitaryWives #proud""","text:""Today is the day ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85630""}",Tweet_id:1235981935370858497,"created_at:""Fri Mar 06 17:33:51 +0000 2020""","rawtext:""Lovely Friday. \nDo you know everyone? There were many beautiful steel beings....\n\nhttps://t.co/xs13vr5ITV\n#Prague\n#winterinPrague\n#gallery \n#steelfigures\n#interesting \n#amazingplace https://t.co/VKXIjvJOWM""","text:""Lovely Friday. Do you know everyone? There were many beautiful steel beings.. ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8562b""}",Tweet_id:1235980206873161729,"created_at:""Fri Mar 06 17:26:59 +0000 2020""","rawtext:""Another successful closing @KansasSecured ! Thank you for trusting me with everything! Congrats guys! #teamhomehero #closingday #happy #excited @ Wichita"," Kansas https://t.co/6LXXuPTdnU""","text:""Another successful closing ! Thank you for trusting me with everything! Congrats guys! teamhomehero closingday happy excited @ Wichita"," Kansas""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85632""}",Tweet_id:1235983011633561605,"created_at:""Fri Mar 06 17:38:08 +0000 2020""","rawtext:""On our way to the boys are back tour #excited #oldfriends #danceliketeenagers #lovinglife @MrSpikeDawbarn @MrLeeBrennan\n@jimmyconstable @RitchieNeville @Scottlarock5 @SeanConlonMusic @JadeJonesDMG @A1Official https://t.co/1Y9FT1UDFM""","text:""On our way to the boys are back tour ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85631""}",Tweet_id:1235983032168800259,"created_at:""Fri Mar 06 17:38:12 +0000 2020""","rawtext:""@chrislhayes Imagine a scenario", where an untested #coronavirus potential positive case, took an #Uber from the airport, that #Uber driver, their car and any other passengers (that entered the car afterward) would be affected...so only testing clusters," seems a bit #interesting....""","text:""Imagine a scenario", where an untested coronavirus potential positive case, took an Uber from the airport, that Uber driver, their car and any other passengers (that entered the car afterward) would be affected..so only testing clusters," seems a bit ""}"
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85635""}",Tweet_id:1235984452242812929,"created_at:""Fri Mar 06 17:43:51 +0000 2020""","rawtext:""VIDEO: Have you ever seen a typical hospital Circumcision? WATCH: #Parenting #parents #expecting #womenshealth http://t.co/uB9csKq29H""","text:""VIDEO: Have you ever seen a typical hospital Circumcision? WATCH: ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85633""}",Tweet_id:1235984023907897345,"created_at:""Fri Mar 06 17:42:09 +0000 2020""","rawtext:""WOW! We are so #excited to announce the return of the #WipAwards! Do you know a #WMP #Woman", officer or staff," so flippin' #awesome and #inspirational the deserve an award? Then #nominate today! \n\n@WMPolice  @WestMidsPCC @DaveThompsonCC \n\nhttps://t.co/oygJVBR46i https://t.co/6F8LBGPZFV""","text:""WOW! We are so excited to announce the return of the WipAwards! Do you know a WMP Woman", officer or staff," so flippin' awesome and inspirational the deserve an award? Then nominate today!""}",,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85636""}",Tweet_id:1235984586657669128,"created_at:""Fri Mar 06 17:44:23 +0000 2020""","rawtext:""Check out our new website https://t.co/HtX1iS4lmS!!! We're #excited to get it out in the Twittersphere using some good ol' #FridayMotivation. We've got loads of plans and our website and social media is where to find them. #website #FeelingGood @MoseleyExchange @TNLComFund""","text:""Check out our new website we are excited to get it out in the Twittersphere using some good ol' FridayMotivation. we have got loads of plans and our website and social media is where to find them. ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85638""}",Tweet_id:1235983153204015104,"created_at:""Fri Mar 06 17:38:41 +0000 2020""","rawtext:""\""Don__ Start Now\"" is now available to stream EVERYWHERE _お____ \n-\n-\n#spotify #applemusic #itunes #tiktok #youtube #kids #music #fun #family #song #artist #dualipa #dontstartnow #cover #love #life #happy #excited #party #time #partytime #newmusicfriday #nowplaying #newmusic https://t.co/XnbLurn5DF""","text:""\""do not Start Now\"" is now available to stream EVERYWHERE - - ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8563b""}",Tweet_id:1235985623661588480,"created_at:""Fri Mar 06 17:48:30 +0000 2020""","rawtext:""Swansea Bay Business Awards 2020 / Works Leaving Do .... Ready! __ @WalesOnline @SwanseaOnline10 @swansealife Thanks @Crest __ &amp; @riverisland __#SwanseaBayBusinessAwards2020 #Awards #Business #Excited #Smiles #RiverIsland #AndrewPenhale #Swansea #Smart #Dinner https://t.co/0wyQW9wYci""","text:""Swansea Bay Business Awards 2020 / Works Leaving Do . Ready! Thanks &amp; ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8563e""}",Tweet_id:1235986976404168705,"created_at:""Fri Mar 06 17:53:53 +0000 2020""","rawtext:""It's the simple things that matter most to me. I love Doughnuts \n\n #grateful #excited #thankful #blessed #gratitude #humbled #paychexproud #paychex #paychexproud @ Paychex https://t.co/1YIonofRKL""","text:""it is the simple things that matter most to me. I love Doughnuts grateful excited thankful blessed gratitude humbled paychexproud paychex paychexproud @ Paychex""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8563c""}",Tweet_id:1235986180094730240,"created_at:""Fri Mar 06 17:50:43 +0000 2020""","rawtext:""The excitement keeps building! I am so grateful for the support of @BOLDDems.  Join them by going to https://t.co/DPZ8Dfsmx7 and help us get our message to all of KS-02! #grateful #excited""","text:""The excitement keeps building! I am so grateful for the support of . Join them by going to and help us get our message to all of KS-02! ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8563f""}",Tweet_id:1235986547557765120,"created_at:""Fri Mar 06 17:52:11 +0000 2020""","rawtext:""Our CEO @marykeanedawson is attending the Digi Fest this weekend"," supporting digital skills for all ages #DigiFsst #IWD""","text:""Our CEO is attending the Digi Fest this weekend"," supporting digital skills for all ages ""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85640""}",Tweet_id:1235987290989658112,"created_at:""Fri Mar 06 17:55:08 +0000 2020""","rawtext:""Boxing has been on fire lately and it doesn__ look like it__ going to stop anytime soon. May-July is going to bring more __. It__ a good time to be a boxing fan. Enjoy the ride! #boxing #dance #oldman #excited #2020_ https://t.co/qeyRXyUhfc""","text:""Boxing has been on fire lately and it does not look like it is going to stop anytime soon. May-July is going to bring more . it is a good time to be a boxing fan. Enjoy the ride! ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85641""}",Tweet_id:1235987344869781506,"created_at:""Fri Mar 06 17:55:21 +0000 2020""","rawtext:""@BlackPumasMusic Can__ wait to see you @StubbsAustin #soexcited https://t.co/SfNYzZOWi1""","text:""can not wait to see you ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85639""}",Tweet_id:1235984731604480001,"created_at:""Fri Mar 06 17:44:58 +0000 2020""","rawtext:""Sanj (on the left) and me (on the right). Very excited about coming to @lborouniversity tomorrow #artofbrill #LboroWellbeing https://t.co/Y0CNaBQjGK""","text:""Sanj (on the left) and me (on the right). Very excited about coming to tomorrow ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85649""}",Tweet_id:1235988932493524992,"created_at:""Fri Mar 06 18:01:39 +0000 2020""","rawtext:""So apparently", the logo for the Spanish lollipop company, Chupa Chups," was designed by Salvador Dali in 1969. #interesting #candydesign https://t.co/3RVDAIQkd8""","text:""So apparently", the logo for the Spanish lollipop company, Chupa Chups," was designed by Salvador Dali in 1969. ""}",,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85648""}",Tweet_id:1235988798116433920,"created_at:""Fri Mar 06 18:01:07 +0000 2020""","rawtext:""There is a common misbelief that because the browser is named Firefox", the logo must be a fox.\n\nSurprisingly," the cute furry creature in the logo is actually a red panda!_く\n#Interesting #Funfacts""","text:""There is a common misbelief that because the browser is named Firefox", the logo must be a fox. Surprisingly," the cute furry creature in the logo is actually a red panda! ""}",,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8564f""}",Tweet_id:1235989990951157760,"created_at:""Fri Mar 06 18:05:52 +0000 2020""","rawtext:""In 2003", the U.S. Government spent about $2,0,"000.00 on potato research! #interesting #didyouknow""","text:""In 2003", the you.S. Government spent about $2,0,"00.00 on potato research! ""}",,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85650""}",Tweet_id:1235989849523486720,"created_at:""Fri Mar 06 18:05:18 +0000 2020""","rawtext:""So I just won tickets to see #RockRoyalty #FrancisRossi thank you so much @BBCLeicester @ady_dayman \n#SoExcited xxx""","text:""So I just won tickets to see RockRoyalty FrancisRossi thank you so much SoExcited x""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85652""}",Tweet_id:1235990549259333639,"created_at:""Fri Mar 06 18:08:05 +0000 2020""","rawtext:""George Soros-Backed Group Gave Huge Donation to County Prosecutor Who Dropped Jussie Smollett Charges https://t.co/nHQkfQEiSE #Interesting""","text:""George Soros-Backed Group Gave Huge Donation to County Prosecutor Who Dropped Jussie Smollett Charges ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85654""}",Tweet_id:1235990885776515072,"created_at:""Fri Mar 06 18:09:25 +0000 2020""","rawtext:""ITS MIIIIIIIINE #AnimalCrossingNewHorizons #preorder #soexcited https://t.co/lFk3PIFCrR""","text:""ITS MINE ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85659""}",Tweet_id:1235992274829533185,"created_at:""Fri Mar 06 18:14:56 +0000 2020""","rawtext:""#slashdot #interesting Quibi is Giving People a 90-day Free Trial in Hopes They'll Actually Sign Up https://t.co/P0lFg1sYhF""","text:""slashdot interesting Quibi is Giving People a 90-day Free Trial in Hopes they will Actually Sign Up""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8565b""}",Tweet_id:1235998638918299650,"created_at:""Fri Mar 06 18:40:13 +0000 2020""","rawtext:""Went to our first #GirlScout meeting last night and woke up with an invitation to be a troop leader __ I did not previously realize this was something I wanted to do! #SoExcited #EmpowerTheNextGeneration""","text:""Went to our first GirlScout meeting last night and woke up with an invitation to be a troop leader I did not previously realize this was something I wanted to do! ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8565c""}",Tweet_id:1235999860517560320,"created_at:""Fri Mar 06 18:45:05 +0000 2020""","rawtext:""The neutral colors and theme make it a great card box for baby showers and gender reveal parties!!!  #babyshower #expecting #mommytobe #babyiscoming https://t.co/QsjjN4d38I https://t.co/giyILHEB7h""","text:""The neutral colors and theme make it a great card box for baby showers and gender reveal parties!! ""}",,,,,,,,,,
